2024-10-18 21:07:24 - iter: 61000/300000, epoch: 300, lr: 0.0003606633319004749 Train MRAE: 0.020065249875187874, Test mrae: 0.01053, Test rmse: 0.00145, Test psnr: 18.60568, Test ssim: 0.99985, Test sam: 0.00881
2024-10-18 21:19:20 - iter: 62000/300000, epoch: 300, lr: 0.00035940898174086365 Train MRAE: 0.01994919776916504, Test mrae: 0.01271, Test rmse: 0.00161, Test psnr: 18.58255, Test ssim: 0.99975, Test sam: 0.00998
2024-10-18 21:31:18 - iter: 63000/300000, epoch: 300, lr: 0.00035813720542066265 Train MRAE: 0.019833143800497055, Test mrae: 0.00929, Test rmse: 0.00106, Test psnr: 18.59567, Test ssim: 0.99984, Test sam: 0.00725
2024-10-18 21:43:14 - iter: 64000/300000, epoch: 300, lr: 0.0003568481424044783 Train MRAE: 0.019724415615200996, Test mrae: 0.01024, Test rmse: 0.00118, Test psnr: 18.59942, Test ssim: 0.99985, Test sam: 0.00824
2024-10-18 21:55:11 - iter: 65000/300000, epoch: 300, lr: 0.0003555419340525948 Train MRAE: 0.019609447568655014, Test mrae: 0.01057, Test rmse: 0.00148, Test psnr: 18.59725, Test ssim: 0.99982, Test sam: 0.00935
2024-10-18 22:07:08 - iter: 66000/300000, epoch: 300, lr: 0.00035421872360547795 Train MRAE: 0.019502252340316772, Test mrae: 0.01212, Test rmse: 0.00139, Test psnr: 18.58588, Test ssim: 0.99979, Test sam: 0.00869
2024-10-18 22:19:05 - iter: 67000/300000, epoch: 300, lr: 0.0003528786561680654 Train MRAE: 0.019395774230360985, Test mrae: 0.00991, Test rmse: 0.00140, Test psnr: 18.59154, Test ssim: 0.99986, Test sam: 0.00882
2024-10-18 22:31:01 - iter: 68000/300000, epoch: 300, lr: 0.0003515218786938523 Train MRAE: 0.01929197646677494, Test mrae: 0.01415, Test rmse: 0.00176, Test psnr: 18.58546, Test ssim: 0.99975, Test sam: 0.01095
2024-10-18 22:42:59 - iter: 69000/300000, epoch: 300, lr: 0.0003501485399687795 Train MRAE: 0.019194817170500755, Test mrae: 0.01279, Test rmse: 0.00144, Test psnr: 18.59008, Test ssim: 0.99975, Test sam: 0.00953
2024-10-18 22:54:56 - iter: 70000/300000, epoch: 300, lr: 0.000348758790594914 Train MRAE: 0.019094983115792274, Test mrae: 0.01035, Test rmse: 0.00147, Test psnr: 18.59694, Test ssim: 0.99986, Test sam: 0.00915
2024-10-18 23:06:53 - iter: 71000/300000, epoch: 300, lr: 0.0003473527829739337 Train MRAE: 0.018993021920323372, Test mrae: 0.00940, Test rmse: 0.00127, Test psnr: 18.59078, Test ssim: 0.99989, Test sam: 0.00789
2024-10-18 23:18:50 - iter: 72000/300000, epoch: 300, lr: 0.00034593067129042097 Train MRAE: 0.018892014399170876, Test mrae: 0.01575, Test rmse: 0.00194, Test psnr: 18.59470, Test ssim: 0.99965, Test sam: 0.01224
2024-10-18 23:30:48 - iter: 73000/300000, epoch: 300, lr: 0.0003444926114949461 Train MRAE: 0.018797023221850395, Test mrae: 0.01067, Test rmse: 0.00123, Test psnr: 18.60040, Test ssim: 0.99985, Test sam: 0.00828
2024-10-18 23:42:45 - iter: 74000/300000, epoch: 300, lr: 0.00034303876128696987 Train MRAE: 0.018702052533626556, Test mrae: 0.01199, Test rmse: 0.00163, Test psnr: 18.60878, Test ssim: 0.99982, Test sam: 0.01037
2024-10-18 23:54:42 - iter: 75000/300000, epoch: 300, lr: 0.00034156928009755524 Train MRAE: 0.018612945452332497, Test mrae: 0.00988, Test rmse: 0.00131, Test psnr: 18.59395, Test ssim: 0.99988, Test sam: 0.00855
2024-10-19 00:06:39 - iter: 76000/300000, epoch: 300, lr: 0.0003400843290718691 Train MRAE: 0.0185190811753273, Test mrae: 0.00903, Test rmse: 0.00107, Test psnr: 18.59691, Test ssim: 0.99987, Test sam: 0.00726
2024-10-19 00:18:35 - iter: 77000/300000, epoch: 300, lr: 0.00033858407105152914 Train MRAE: 0.018429193645715714, Test mrae: 0.01023, Test rmse: 0.00145, Test psnr: 18.59202, Test ssim: 0.99986, Test sam: 0.00876
